house_id	panels	pv_kw	TAS_surplus_kwh_day	TAS_A_kwh	TAS_B_kwh	TAS_C_kwh	VIC_surplus_kwh_day	VIC_A_kwh	VIC_B_kwh	VIC_C_kwh	NSW_surplus_kwh_day	NSW_A_kwh	NSW_B_kwh	NSW_C_kwh	SA_surplus_kwh_day	SA_A_kwh	SA_B_kwh	SA_C_kwh	QLD_surplus_kwh_day	QLD_A_kwh	QLD_B_kwh	QLD_C_kwh	ACT_surplus_kwh_day	ACT_A_kwh	ACT_B_kwh	ACT_C_kwh	NT_surplus_kwh_day	NT_A_kwh	NT_B_kwh	NT_C_kwh	WA_surplus_kwh_day	WA_A_kwh	WA_B_kwh	WA_C_kwh
1113	12	5.28	1.66	24.6	7.9	7.9	4.66	16.5	5.3	5.3	4.91	19.1	7.1	7.1	6.24	17.6	6.6	6.6	7.24	13.0	5.5	5.5	6.48	22.5	9.0	9.0	3.33	22.9	9.7	9.7	5.56	17.5	7.4	7.4
1114	14	6.16	3.21	24.6	7.9	7.9	6.55	16.5	5.3	5.3	7.09	19.1	7.1	7.1	8.61	17.6	6.6	6.6	9.61	13.0	5.6	5.5	8.76	22.5	9.0	9.0	5.42	22.9	9.7	9.7	7.98	17.5	7.4	7.4
1115	7	3.08	0.00	24.6	7.9	7.9	0.61	16.5	5.3	5.3	0.54	19.1	7.1	7.1	0.96	17.6	6.6	6.6	1.76	13.0	5.5	5.5	1.42	22.5	9.0	9.0	0.00	22.9	9.7	9.7	0.65	17.5	7.4	7.4
1116	4	1.76	0.00	24.6	7.9	7.9	0.00	16.5	5.3	5.3	0.00	19.1	7.1	7.1	0.00	17.6	6.6	6.6	0.00	13.0	5.5	5.5	0.00	22.5	9.0	9.0	0.00	22.9	9.7	9.7	0.00	17.5	7.4	7.4
1117	37	16.28	25.35	24.6	14.8	7.9	31.31	29.3	18.3	5.3	34.59	32.4	20.2	7.1	38.07	35.6	22.3	6.6	39.37	36.8	23.0	5.5	37.98	35.5	22.2	9.0	34.58	32.4	20.2	9.7	38.40	35.9	22.5	7.4
1118	4	1.76	0.00	24.6	7.9	7.9	0.00	16.5	5.3	5.3	0.00	19.1	7.1	7.1	0.00	17.6	6.6	6.6	0.00	13.0	5.5	5.5	0.00	22.5	9.0	9.0	0.00	22.9	9.7	9.7	0.00	17.5	7.4	7.4
1119	21	9.24	9.29	24.6	7.9	7.9	13.70	16.5	8.0	5.3	15.01	19.1	8.8	7.1	17.14	17.6	10.0	6.6	18.35	17.2	10.7	5.5	17.27	22.5	10.1	9.0	13.75	22.9	9.7	9.7	16.75	17.5	9.8	7.4
1120	6	2.64	0.00	24.6	7.9	7.9	0.06	16.5	5.3	5.3	0.00	19.1	7.1	7.1	0.20	17.6	6.6	6.6	0.89	13.0	5.5	5.5	0.63	22.5	9.0	9.0	0.00	22.9	9.7	9.7	0.02	17.5	7.4	7.4
1121	15	6.60	4.04	24.6	7.9	7.9	7.56	16.5	5.3	5.3	8.22	19.1	7.1	7.1	9.80	17.6	6.6	6.6	10.80	13.0	6.3	5.5	9.98	22.5	9.0	9.0	6.47	22.9	9.7	9.7	9.22	17.5	7.4	7.4
1122	11	4.84	1.05	24.6	7.9	7.9	3.78	16.5	5.3	5.3	3.96	19.1	7.1	7.1	5.05	17.6	6.6	6.6	6.05	13.0	5.5	5.5	5.36	22.5	9.0	9.0	2.31	22.9	9.7	9.7	4.47	17.5	7.4	7.4
1123	16	7.04	4.88	24.6	7.9	7.9	8.58	16.5	5.3	5.3	9.35	19.1	7.1	7.1	10.99	17.6	6.6	6.6	12.02	13.0	7.0	5.5	11.19	22.5	9.0	9.0	7.59	22.9	9.7	9.7	10.47	17.5	7.4	7.4
1124	43	18.92	31.81	29.8	18.6	7.9	38.03	35.6	22.2	5.3	42.14	39.4	24.6	7.1	46.00	43.0	26.9	6.6	47.32	44.3	27.7	5.5	45.94	43.0	26.9	9.0	42.72	40.0	25.0	9.7	46.71	43.7	27.3	7.4
1125	15	6.60	4.04	24.6	7.9	7.9	7.56	16.5	5.3	5.3	8.22	19.1	7.1	7.1	9.80	17.6	6.6	6.6	10.80	13.0	6.3	5.5	9.98	22.5	9.0	9.0	6.47	22.9	9.7	9.7	9.22	17.5	7.4	7.4
1126	0	0.00	0.00	24.6	7.9	7.9	0.00	16.5	5.3	5.3	0.00	19.1	7.1	7.1	0.00	17.6	6.6	6.6	0.00	13.0	5.5	5.5	0.00	22.5	9.0	9.0	0.00	22.9	9.7	9.7	0.00	17.5	7.4	7.4
1127	12	5.28	1.66	24.6	7.9	7.9	4.66	16.5	5.3	5.3	4.91	19.1	7.1	7.1	6.24	17.6	6.6	6.6	7.24	13.0	5.5	5.5	6.48	22.5	9.0	9.0	3.33	22.9	9.7	9.7	5.56	17.5	7.4	7.4
1128	10	4.40	0.45	24.6	7.9	7.9	2.92	16.5	5.3	5.3	3.01	19.1	7.1	7.1	3.95	17.6	6.6	6.6	4.86	13.0	5.5	5.5	4.30	22.5	9.0	9.0	1.49	22.9	9.7	9.7	3.42	17.5	7.4	7.4
1129	46	20.24	35.05	32.8	20.5	7.9	41.43	38.8	24.2	5.3	45.92	43.0	26.9	7.1	49.97	46.8	29.2	6.6	51.37	48.1	30.0	5.5	49.92	46.7	29.2	9.0	46.87	43.9	27.4	9.7	50.86	47.6	29.7	7.4
1130	30	13.20	18.16	24.6	10.6	7.9	23.54	22.0	13.8	5.3	25.94	24.3	15.2	7.1	28.82	27.0	16.9	6.6	30.12	28.2	17.6	5.5	28.70	26.9	16.8	9.0	25.17	23.6	14.7	9.7	28.79	26.9	16.8	7.4
1131	14	6.16	3.21	24.6	7.9	7.9	6.55	16.5	5.3	5.3	7.09	19.1	7.1	7.1	8.61	17.6	6.6	6.6	9.61	13.0	5.6	5.5	8.76	22.5	9.0	9.0	5.42	22.9	9.7	9.7	7.98	17.5	7.4	7.4
1132	8	3.52	0.00	24.6	7.9	7.9	1.24	16.5	5.3	5.3	1.23	19.1	7.1	7.1	1.90	17.6	6.6	6.6	2.76	13.0	5.5	5.5	2.30	22.5	9.0	9.0	0.08	22.9	9.7	9.7	1.42	17.5	7.4	7.4
1133	36	15.84	24.31	24.6	14.2	7.9	30.20	28.3	17.7	5.3	33.34	31.2	19.5	7.1	36.75	34.4	21.5	6.6	38.05	35.6	22.3	5.5	36.66	34.3	21.4	9.0	33.22	31.1	19.4	9.7	37.01	34.6	21.6	7.4
1134	20	8.80	8.37	24.6	7.9	7.9	12.65	16.5	7.4	5.3	13.88	19.1	8.1	7.1	15.90	17.6	9.3	6.6	17.05	16.0	10.0	5.5	16.06	22.5	9.4	9.0	12.51	22.9	9.7	9.7	15.45	17.5	9.0	7.4
1135	17	7.48	5.71	24.6	7.9	7.9	9.60	16.5	5.6	5.3	10.48	19.1	7.1	7.1	12.18	17.6	7.1	6.6	13.26	13.0	7.8	5.5	12.41	22.5	9.0	9.0	8.78	22.9	9.7	9.7	11.71	17.5	7.4	7.4
1136	10	4.40	0.45	24.6	7.9	7.9	2.92	16.5	5.3	5.3	3.01	19.1	7.1	7.1	3.95	17.6	6.6	6.6	4.86	13.0	5.5	5.5	4.30	22.5	9.0	9.0	1.49	22.9	9.7	9.7	3.42	17.5	7.4	7.4
1137	20	8.80	8.37	24.6	7.9	7.9	12.65	16.5	7.4	5.3	13.88	19.1	8.1	7.1	15.90	17.6	9.3	6.6	17.05	16.0	10.0	5.5	16.06	22.5	9.4	9.0	12.51	22.9	9.7	9.7	15.45	17.5	9.0	7.4
1138	62	27.28	52.32	49.0	30.6	7.9	59.87	50.0	35.0	5.3	66.20	50.0	38.7	7.1	71.43	50.0	41.8	6.6	72.95	50.0	42.7	5.5	71.49	50.0	41.8	9.0	69.03	50.0	40.4	9.7	73.24	50.0	42.8	7.4
1139	18	7.92	6.55	24.6	7.9	7.9	10.62	16.5	6.2	5.3	11.61	19.1	7.1	7.1	13.42	17.6	7.8	6.6	14.50	13.6	8.5	5.5	13.63	22.5	9.0	9.0	10.02	22.9	9.7	9.7	12.95	17.5	7.6	7.4
1140	33	14.52	21.21	24.6	12.4	7.9	26.87	25.1	15.7	5.3	29.64	27.7	17.3	7.1	32.78	30.7	19.2	6.6	34.08	31.9	19.9	5.5	32.68	30.6	19.1	9.0	29.15	27.3	17.0	9.7	32.86	30.7	19.2	7.4
1142	54	23.76	43.69	40.9	25.5	7.9	50.62	47.4	29.6	5.3	55.99	50.0	32.7	7.1	60.64	50.0	35.5	6.6	62.16	50.0	36.4	5.5	60.66	50.0	35.5	9.0	57.95	50.0	33.9	9.7	61.94	50.0	36.2	7.4
1143	10	4.40	0.45	24.6	7.9	7.9	2.92	16.5	5.3	5.3	3.01	19.1	7.1	7.1	3.95	17.6	6.6	6.6	4.86	13.0	5.5	5.5	4.30	22.5	9.0	9.0	1.49	22.9	9.7	9.7	3.42	17.5	7.4	7.4
1144	18	7.92	6.55	24.6	7.9	7.9	10.62	16.5	6.2	5.3	11.61	19.1	7.1	7.1	13.42	17.6	7.8	6.6	14.50	13.6	8.5	5.5	13.63	22.5	9.0	9.0	10.02	22.9	9.7	9.7	12.95	17.5	7.6	7.4
1146	16	7.04	4.88	24.6	7.9	7.9	8.58	16.5	5.3	5.3	9.35	19.1	7.1	7.1	10.99	17.6	6.6	6.6	12.02	13.0	7.0	5.5	11.19	22.5	9.0	9.0	7.59	22.9	9.7	9.7	10.47	17.5	7.4	7.4
1147	5	2.20	0.00	24.6	7.9	7.9	0.00	16.5	5.3	5.3	0.00	19.1	7.1	7.1	0.00	17.6	6.6	6.6	0.17	13.0	5.5	5.5	0.07	22.5	9.0	9.0	0.00	22.9	9.7	9.7	0.00	17.5	7.4	7.4
1148	32	14.08	20.18	24.6	11.8	7.9	25.76	24.1	15.1	5.3	28.40	26.6	16.6	7.1	31.46	29.4	18.4	6.6	32.76	30.7	19.2	5.5	31.35	29.3	18.3	9.0	27.80	26.0	16.3	9.7	31.50	29.5	18.4	7.4
1149	24	10.56	12.23	24.6	7.9	7.9	16.89	16.5	9.9	5.3	18.55	19.1	10.9	7.1	21.03	19.7	12.3	6.6	22.23	20.8	13.0	5.5	20.92	22.5	12.2	9.0	17.48	22.9	10.2	9.7	20.65	19.3	12.1	7.4
1150	0	0.00	0.00	24.6	7.9	7.9	0.00	16.5	5.3	5.3	0.00	19.1	7.1	7.1	0.00	17.6	6.6	6.6	0.00	13.0	5.5	5.5	0.00	22.5	9.0	9.0	0.00	22.9	9.7	9.7	0.00	17.5	7.4	7.4
1151	14	6.16	3.21	24.6	7.9	7.9	6.55	16.5	5.3	5.3	7.09	19.1	7.1	7.1	8.61	17.6	6.6	6.6	9.61	13.0	5.6	5.5	8.76	22.5	9.0	9.0	5.42	22.9	9.7	9.7	7.98	17.5	7.4	7.4
1152	479	210.76	521.00	50.0	50.0	7.9	542.05	50.0	50.0	5.3	601.96	50.0	50.0	7.1	633.98	50.0	50.0	6.6	635.50	50.0	50.0	5.5	647.54	50.0	50.0	9.0	658.10	50.0	50.0	9.7	662.57	50.0	50.0	7.4
1153	80	35.20	72.27	50.0	42.3	7.9	80.68	50.0	47.2	5.3	89.33	50.0	50.0	7.1	95.71	50.0	50.0	6.6	97.24	50.0	50.0	5.5	96.28	50.0	50.0	9.0	94.20	50.0	50.0	9.7	98.68	50.0	50.0	7.4
1154	6	2.64	0.00	24.6	7.9	7.9	0.06	16.5	5.3	5.3	0.00	19.1	7.1	7.1	0.20	17.6	6.6	6.6	0.89	13.0	5.5	5.5	0.63	22.5	9.0	9.0	0.00	22.9	9.7	9.7	0.02	17.5	7.4	7.4
1155	7	3.08	0.00	24.6	7.9	7.9	0.61	16.5	5.3	5.3	0.54	19.1	7.1	7.1	0.96	17.6	6.6	6.6	1.76	13.0	5.5	5.5	1.42	22.5	9.0	9.0	0.00	22.9	9.7	9.7	0.65	17.5	7.4	7.4
1156	3	1.32	0.00	24.6	7.9	7.9	0.00	16.5	5.3	5.3	0.00	19.1	7.1	7.1	0.00	17.6	6.6	6.6	0.00	13.0	5.5	5.5	0.00	22.5	9.0	9.0	0.00	22.9	9.7	9.7	0.00	17.5	7.4	7.4
1157	31	13.64	19.15	24.6	11.2	7.9	24.65	23.1	14.4	5.3	27.17	25.4	15.9	7.1	30.14	28.2	17.6	6.6	31.44	29.4	18.4	5.5	30.02	28.1	17.6	9.0	26.47	24.8	15.5	9.7	30.15	28.2	17.6	7.4
1158	6	2.64	0.00	24.6	7.9	7.9	0.06	16.5	5.3	5.3	0.00	19.1	7.1	7.1	0.20	17.6	6.6	6.6	0.89	13.0	5.5	5.5	0.63	22.5	9.0	9.0	0.00	22.9	9.7	9.7	0.02	17.5	7.4	7.4
1159	30	13.20	18.16	24.6	10.6	7.9	23.54	22.0	13.8	5.3	25.94	24.3	15.2	7.1	28.82	27.0	16.9	6.6	30.12	28.2	17.6	5.5	28.70	26.9	16.8	9.0	25.17	23.6	14.7	9.7	28.79	26.9	16.8	7.4
1160	34	14.96	22.25	24.6	13.0	7.9	27.98	26.2	16.4	5.3	30.87	28.9	18.1	7.1	34.11	31.9	19.9	6.6	35.40	33.1	20.7	5.5	34.00	31.8	19.9	9.0	30.51	28.5	17.8	9.7	34.24	32.0	20.0	7.4
1161	10	4.40	0.45	24.6	7.9	7.9	2.92	16.5	5.3	5.3	3.01	19.1	7.1	7.1	3.95	17.6	6.6	6.6	4.86	13.0	5.5	5.5	4.30	22.5	9.0	9.0	1.49	22.9	9.7	9.7	3.42	17.5	7.4	7.4
1162	14	6.16	3.21	24.6	7.9	7.9	6.55	16.5	5.3	5.3	7.09	19.1	7.1	7.1	8.61	17.6	6.6	6.6	9.61	13.0	5.6	5.5	8.76	22.5	9.0	9.0	5.42	22.9	9.7	9.7	7.98	17.5	7.4	7.4
1163	36	15.84	24.31	24.6	14.2	7.9	30.20	28.3	17.7	5.3	33.34	31.2	19.5	7.1	36.75	34.4	21.5	6.6	38.05	35.6	22.3	5.5	36.66	34.3	21.4	9.0	33.22	31.1	19.4	9.7	37.01	34.6	21.6	7.4
1164	60	26.40	50.16	46.9	29.3	7.9	57.55	50.0	33.7	5.3	63.63	50.0	37.2	7.1	68.73	50.0	40.2	6.6	70.25	50.0	41.1	5.5	68.78	50.0	40.2	9.0	66.26	50.0	38.7	9.7	70.41	50.0	41.2	7.4
1165	8	3.52	0.00	24.6	7.9	7.9	1.24	16.5	5.3	5.3	1.23	19.1	7.1	7.1	1.90	17.6	6.6	6.6	2.76	13.0	5.5	5.5	2.30	22.5	9.0	9.0	0.08	22.9	9.7	9.7	1.42	17.5	7.4	7.4
1166	10	4.40	0.45	24.6	7.9	7.9	2.92	16.5	5.3	5.3	3.01	19.1	7.1	7.1	3.95	17.6	6.6	6.6	4.86	13.0	5.5	5.5	4.30	22.5	9.0	9.0	1.49	22.9	9.7	9.7	3.42	17.5	7.4	7.4
1167	18	7.92	6.55	24.6	7.9	7.9	10.62	16.5	6.2	5.3	11.61	19.1	7.1	7.1	13.42	17.6	7.8	6.6	14.50	13.6	8.5	5.5	13.63	22.5	9.0	9.0	10.02	22.9	9.7	9.7	12.95	17.5	7.6	7.4
1168	38	16.72	26.41	24.7	15.4	7.9	32.42	30.3	19.0	5.3	35.84	33.5	21.0	7.1	39.39	36.9	23.0	6.6	40.69	38.1	23.8	5.5	39.31	36.8	23.0	9.0	35.94	33.6	21.0	9.7	39.78	37.2	23.3	7.4
1169	7	3.08	0.00	24.6	7.9	7.9	0.61	16.5	5.3	5.3	0.54	19.1	7.1	7.1	0.96	17.6	6.6	6.6	1.76	13.0	5.5	5.5	1.42	22.5	9.0	9.0	0.00	22.9	9.7	9.7	0.65	17.5	7.4	7.4
1170	25	11.00	13.21	24.6	7.9	7.9	17.99	16.8	10.5	5.3	19.77	19.1	11.6	7.1	22.32	20.9	13.1	6.6	23.53	22.0	13.8	5.5	22.17	22.5	13.0	9.0	18.73	22.9	11.0	9.7	22.01	20.6	12.9	7.4
1171	39	17.16	27.49	25.7	16.1	7.9	33.53	31.4	19.6	5.3	37.10	34.7	21.7	7.1	40.72	38.1	23.8	6.6	42.01	39.3	24.6	5.5	40.63	38.0	23.8	9.0	37.30	34.9	21.8	9.7	41.17	38.5	24.1	7.4
1172	40	17.60	28.57	26.7	16.7	7.9	34.64	32.4	20.3	5.3	38.36	35.9	22.4	7.1	42.04	39.3	24.6	6.6	43.34	40.5	25.3	5.5	41.96	39.3	24.5	9.0	38.65	36.2	22.6	9.7	42.55	39.8	24.9	7.4
1173	40	17.60	28.57	26.7	16.7	7.9	34.64	32.4	20.3	5.3	38.36	35.9	22.4	7.1	42.04	39.3	24.6	6.6	43.34	40.5	25.3	5.5	41.96	39.3	24.5	9.0	38.65	36.2	22.6	9.7	42.55	39.8	24.9	7.4
1174	31	13.64	19.15	24.6	11.2	7.9	24.65	23.1	14.4	5.3	27.17	25.4	15.9	7.1	30.14	28.2	17.6	6.6	31.44	29.4	18.4	5.5	30.02	28.1	17.6	9.0	26.47	24.8	15.5	9.7	30.15	28.2	17.6	7.4
1175	15	6.60	4.04	24.6	7.9	7.9	7.56	16.5	5.3	5.3	8.22	19.1	7.1	7.1	9.80	17.6	6.6	6.6	10.80	13.0	6.3	5.5	9.98	22.5	9.0	9.0	6.47	22.9	9.7	9.7	9.22	17.5	7.4	7.4
1176	14	6.16	3.21	24.6	7.9	7.9	6.55	16.5	5.3	5.3	7.09	19.1	7.1	7.1	8.61	17.6	6.6	6.6	9.61	13.0	5.6	5.5	8.76	22.5	9.0	9.0	5.42	22.9	9.7	9.7	7.98	17.5	7.4	7.4
1177	70	30.80	61.13	50.0	35.7	7.9	69.12	50.0	40.4	5.3	76.48	50.0	44.7	7.1	82.22	50.0	48.1	6.6	83.74	50.0	49.0	5.5	82.46	50.0	48.2	9.0	80.11	50.0	46.8	9.7	84.54	50.0	49.4	7.4
1178	0	0.00	0.00	24.6	7.9	7.9	0.00	16.5	5.3	5.3	0.00	19.1	7.1	7.1	0.00	17.6	6.6	6.6	0.00	13.0	5.5	5.5	0.00	22.5	9.0	9.0	0.00	22.9	9.7	9.7	0.00	17.5	7.4	7.4
1179	2	0.88	0.00	24.6	7.9	7.9	0.00	16.5	5.3	5.3	0.00	19.1	7.1	7.1	0.00	17.6	6.6	6.6	0.00	13.0	5.5	5.5	0.00	22.5	9.0	9.0	0.00	22.9	9.7	9.7	0.00	17.5	7.4	7.4
1180	1	0.44	0.00	24.6	7.9	7.9	0.00	16.5	5.3	5.3	0.00	19.1	7.1	7.1	0.00	17.6	6.6	6.6	0.00	13.0	5.5	5.5	0.00	22.5	9.0	9.0	0.00	22.9	9.7	9.7	0.00	17.5	7.4	7.4
1181	24	10.56	12.23	24.6	7.9	7.9	16.89	16.5	9.9	5.3	18.55	19.1	10.9	7.1	21.03	19.7	12.3	6.6	22.23	20.8	13.0	5.5	20.92	22.5	12.2	9.0	17.48	22.9	10.2	9.7	20.65	19.3	12.1	7.4
1182	22	9.68	10.25	24.6	7.9	7.9	14.77	16.5	8.6	5.3	16.19	19.1	9.5	7.1	18.44	17.6	10.8	6.6	19.64	18.4	11.5	5.5	18.49	22.5	10.8	9.0	14.99	22.9	9.7	9.7	18.05	17.5	10.6	7.4
1183	16	7.04	4.88	24.6	7.9	7.9	8.58	16.5	5.3	5.3	9.35	19.1	7.1	7.1	10.99	17.6	6.6	6.6	12.02	13.0	7.0	5.5	11.19	22.5	9.0	9.0	7.59	22.9	9.7	9.7	10.47	17.5	7.4	7.4
1184	63	27.72	53.41	50.0	31.2	7.9	61.02	50.0	35.7	5.3	67.48	50.0	39.5	7.1	72.78	50.0	42.6	6.6	74.30	50.0	43.5	5.5	72.84	50.0	42.6	9.0	70.41	50.0	41.2	9.7	74.65	50.0	43.7	7.4
1185	21	9.24	9.29	24.6	7.9	7.9	13.70	16.5	8.0	5.3	15.01	19.1	8.8	7.1	17.14	17.6	10.0	6.6	18.35	17.2	10.7	5.5	17.27	22.5	10.1	9.0	13.75	22.9	9.7	9.7	16.75	17.5	9.8	7.4
1186	225	99.00	235.34	50.0	50.0	7.9	248.35	50.0	50.0	5.3	275.62	50.0	50.0	7.1	291.33	50.0	50.0	6.6	292.85	50.0	50.0	5.5	296.61	50.0	50.0	9.0	299.13	50.0	50.0	9.7	303.60	50.0	50.0	7.4
1187	20	8.80	8.37	24.6	7.9	7.9	12.65	16.5	7.4	5.3	13.88	19.1	8.1	7.1	15.90	17.6	9.3	6.6	17.05	16.0	10.0	5.5	16.06	22.5	9.4	9.0	12.51	22.9	9.7	9.7	15.45	17.5	9.0	7.4
1188	5	2.20	0.00	24.6	7.9	7.9	0.00	16.5	5.3	5.3	0.00	19.1	7.1	7.1	0.00	17.6	6.6	6.6	0.17	13.0	5.5	5.5	0.07	22.5	9.0	9.0	0.00	22.9	9.7	9.7	0.00	17.5	7.4	7.4
1189	11	4.84	1.05	24.6	7.9	7.9	3.78	16.5	5.3	5.3	3.96	19.1	7.1	7.1	5.05	17.6	6.6	6.6	6.05	13.0	5.5	5.5	5.36	22.5	9.0	9.0	2.31	22.9	9.7	9.7	4.47	17.5	7.4	7.4
1190	2	0.88	0.00	24.6	7.9	7.9	0.00	16.5	5.3	5.3	0.00	19.1	7.1	7.1	0.00	17.6	6.6	6.6	0.00	13.0	5.5	5.5	0.00	22.5	9.0	9.0	0.00	22.9	9.7	9.7	0.00	17.5	7.4	7.4
1191	15	6.60	4.04	24.6	7.9	7.9	7.56	16.5	5.3	5.3	8.22	19.1	7.1	7.1	9.80	17.6	6.6	6.6	10.80	13.0	6.3	5.5	9.98	22.5	9.0	9.0	6.47	22.9	9.7	9.7	9.22	17.5	7.4	7.4
1192	26	11.44	14.20	24.6	8.3	7.9	19.10	17.9	11.2	5.3	21.00	19.7	12.3	7.1	23.62	22.1	13.8	6.6	24.83	23.2	14.5	5.5	23.44	22.5	13.7	9.0	19.97	22.9	11.7	9.7	23.36	21.9	13.7	7.4
1193	24	10.56	12.23	24.6	7.9	7.9	16.89	16.5	9.9	5.3	18.55	19.1	10.9	7.1	21.03	19.7	12.3	6.6	22.23	20.8	13.0	5.5	20.92	22.5	12.2	9.0	17.48	22.9	10.2	9.7	20.65	19.3	12.1	7.4
1194	35	15.40	23.28	24.6	13.6	7.9	29.09	27.2	17.0	5.3	32.11	30.0	18.8	7.1	35.43	33.1	20.7	6.6	36.73	34.4	21.5	5.5	35.33	33.1	20.7	9.0	31.87	29.8	18.6	9.7	35.63	33.3	20.8	7.4
1195	4	1.76	0.00	24.6	7.9	7.9	0.00	16.5	5.3	5.3	0.00	19.1	7.1	7.1	0.00	17.6	6.6	6.6	0.00	13.0	5.5	5.5	0.00	22.5	9.0	9.0	0.00	22.9	9.7	9.7	0.00	17.5	7.4	7.4
1196	21	9.24	9.29	24.6	7.9	7.9	13.70	16.5	8.0	5.3	15.01	19.1	8.8	7.1	17.14	17.6	10.0	6.6	18.35	17.2	10.7	5.5	17.27	22.5	10.1	9.0	13.75	22.9	9.7	9.7	16.75	17.5	9.8	7.4
1197	18	7.92	6.55	24.6	7.9	7.9	10.62	16.5	6.2	5.3	11.61	19.1	7.1	7.1	13.42	17.6	7.8	6.6	14.50	13.6	8.5	5.5	13.63	22.5	9.0	9.0	10.02	22.9	9.7	9.7	12.95	17.5	7.6	7.4
1198	65	28.60	55.62	50.0	32.5	7.9	63.34	50.0	37.0	5.3	70.05	50.0	41.0	7.1	75.48	50.0	44.1	6.6	77.00	50.0	45.0	5.5	75.56	50.0	44.2	9.0	73.18	50.0	42.8	9.7	77.48	50.0	45.3	7.4
1199	19	8.36	7.46	24.6	7.9	7.9	11.63	16.5	6.8	5.3	12.74	19.1	7.5	7.1	14.66	17.6	8.6	6.6	15.76	14.7	9.2	5.5	14.84	22.5	9.0	9.0	11.26	22.9	9.7	9.7	14.20	17.5	8.3	7.4
1200	100	44.00	94.76	50.0	50.0	7.9	103.81	50.0	50.0	5.3	115.02	50.0	50.0	7.1	122.70	50.0	50.0	6.6	124.22	50.0	50.0	5.5	123.91	50.0	50.0	9.0	122.47	50.0	50.0	9.7	126.94	50.0	50.0	7.4
1201	60	26.40	50.16	46.9	29.3	7.9	57.55	50.0	33.7	5.3	63.63	50.0	37.2	7.1	68.73	50.0	40.2	6.6	70.25	50.0	41.1	5.5	68.78	50.0	40.2	9.0	66.26	50.0	38.7	9.7	70.41	50.0	41.2	7.4
1202	8	3.52	0.00	24.6	7.9	7.9	1.24	16.5	5.3	5.3	1.23	19.1	7.1	7.1	1.90	17.6	6.6	6.6	2.76	13.0	5.5	5.5	2.30	22.5	9.0	9.0	0.08	22.9	9.7	9.7	1.42	17.5	7.4	7.4
1203	11	4.84	1.05	24.6	7.9	7.9	3.78	16.5	5.3	5.3	3.96	19.1	7.1	7.1	5.05	17.6	6.6	6.6	6.05	13.0	5.5	5.5	5.36	22.5	9.0	9.0	2.31	22.9	9.7	9.7	4.47	17.5	7.4	7.4
1204	14	6.16	3.21	24.6	7.9	7.9	6.55	16.5	5.3	5.3	7.09	19.1	7.1	7.1	8.61	17.6	6.6	6.6	9.61	13.0	5.6	5.5	8.76	22.5	9.0	9.0	5.42	22.9	9.7	9.7	7.98	17.5	7.4	7.4
1205	203	89.32	210.60	50.0	50.0	7.9	222.91	50.0	50.0	5.3	247.36	50.0	50.0	7.1	261.65	50.0	50.0	6.6	263.17	50.0	50.0	5.5	266.22	50.0	50.0	9.0	268.04	50.0	50.0	9.7	272.51	50.0	50.0	7.4
1206	24	10.56	12.23	24.6	7.9	7.9	16.89	16.5	9.9	5.3	18.55	19.1	10.9	7.1	21.03	19.7	12.3	6.6	22.23	20.8	13.0	5.5	20.92	22.5	12.2	9.0	17.48	22.9	10.2	9.7	20.65	19.3	12.1	7.4
1207	55	24.20	44.76	41.9	26.2	7.9	51.77	48.4	30.3	5.3	57.25	50.0	33.5	7.1	61.99	50.0	36.3	6.6	63.51	50.0	37.1	5.5	62.01	50.0	36.3	9.0	59.33	50.0	34.7	9.7	63.34	50.0	37.0	7.4
1208	1	0.44	0.00	24.6	7.9	7.9	0.00	16.5	5.3	5.3	0.00	19.1	7.1	7.1	0.00	17.6	6.6	6.6	0.00	13.0	5.5	5.5	0.00	22.5	9.0	9.0	0.00	22.9	9.7	9.7	0.00	17.5	7.4	7.4
1209	8	3.52	0.00	24.6	7.9	7.9	1.24	16.5	5.3	5.3	1.23	19.1	7.1	7.1	1.90	17.6	6.6	6.6	2.76	13.0	5.5	5.5	2.30	22.5	9.0	9.0	0.08	22.9	9.7	9.7	1.42	17.5	7.4	7.4
1210	12	5.28	1.66	24.6	7.9	7.9	4.66	16.5	5.3	5.3	4.91	19.1	7.1	7.1	6.24	17.6	6.6	6.6	7.24	13.0	5.5	5.5	6.48	22.5	9.0	9.0	3.33	22.9	9.7	9.7	5.56	17.5	7.4	7.4
1211	34	14.96	22.25	24.6	13.0	7.9	27.98	26.2	16.4	5.3	30.87	28.9	18.1	7.1	34.11	31.9	19.9	6.6	35.40	33.1	20.7	5.5	34.00	31.8	19.9	9.0	30.51	28.5	17.8	9.7	34.24	32.0	20.0	7.4
1212	6	2.64	0.00	24.6	7.9	7.9	0.06	16.5	5.3	5.3	0.00	19.1	7.1	7.1	0.20	17.6	6.6	6.6	0.89	13.0	5.5	5.5	0.63	22.5	9.0	9.0	0.00	22.9	9.7	9.7	0.02	17.5	7.4	7.4
1213	26	11.44	14.20	24.6	8.3	7.9	19.10	17.9	11.2	5.3	21.00	19.7	12.3	7.1	23.62	22.1	13.8	6.6	24.83	23.2	14.5	5.5	23.44	22.5	13.7	9.0	19.97	22.9	11.7	9.7	23.36	21.9	13.7	7.4
